titre,arrondissement,adresse,telephone,acces,siteweb,linkedin,facebook,twitter,description,latitude,longitude,datepubli,meta_title,meta_description,bon_meta_title
WeWork Champs-Élysées,75008,"6 Rue Christophe Colomb, 75008 Paris",+33 1 70 22 01 00,Métro George V (ligne 1),https://www.wework.com,https://www.linkedin.com/company/wework,https://www.facebook.com/wework,https://twitter.com/WeWork,"Espace de coworking premium au cœur des Champs-Élysées, offrant des bureaux privatifs et des espaces partagés.",48.8719,2.3013,2023-01-15,WeWork Champs-Élysées - Coworking Paris 8,"Bureau flexible et espace de coworking à Paris 8, Champs-Élysées.",True
Station F,75013,"5 Parv. Alan Turing, 75013 Paris",+33 1 82 71 05 00,Métro Bibliothèque François Mitterrand (ligne 14),https://stationf.co,https://www.linkedin.com/company/stationf,https://www.facebook.com/stationfparis,https://twitter.com/Stationf,"Le plus grand campus de startups au monde, abritant plus de 1000 startups dans un espace de 34 000 m².",48.8302,2.3768,2022-06-20,Station F - Campus Startups Paris 13,Le plus grand campus de startups au monde à Paris.,True
Spaces Opéra,75009,"2 Rue de la Paix, 75009 Paris",+33 1 77 45 89 00,"Métro Opéra (lignes 3, 7, 8)",https://www.spacesworks.com,https://www.linkedin.com/company/spaces,,,"Espaces de travail inspirants près de l'Opéra Garnier, idéal pour les professionnels et freelances.",48.8699,2.3316,2023-03-10,Spaces Opéra - Bureaux flexibles Paris 9,Coworking et bureaux privés à Paris Opéra.,True
Numa Paris,75002,"39 Rue du Caire, 75002 Paris",+33 1 42 60 94 00,Métro Sentier (ligne 3),https://paris.numa.co,https://www.linkedin.com/company/numa,https://www.facebook.com/numaparis,https://twitter.com/numa_paris,Espace d'innovation et d'accélération pour startups et entreprises en transformation digitale.,48.8656,2.3487,2022-11-05,Numa Paris - Innovation & Coworking Paris 2,Hub d'innovation et espace coworking dans le Sentier.,True
Le Tank,75003,"6 Rue du Caire, 75003 Paris",,"Métro Arts et Métiers (lignes 3, 11)",https://letank.fr,,https://www.facebook.com/letankparis,,"Espace de coworking dédié aux makers, designers et créatifs, avec fab lab et équipements spécialisés.",48.8639,2.353,2022-09-18,Le Tank - Coworking Créatifs Paris 3,Espace créatif et fab lab au cœur de Paris.,True
Morning Coworking Bastille,75011,"19 Rue Amelot, 75011 Paris",+33 1 43 38 90 00,"Métro Bastille (lignes 1, 5, 8)",https://morning.co,https://www.linkedin.com/company/morning-coworking,https://www.facebook.com/morningcoworking,https://twitter.com/morningcowork,"Réseau d'espaces de coworking conviviaux à Paris, avec café et communauté active de freelances.",48.8566,2.3693,2023-02-14,Morning Coworking Bastille - Paris 11,Coworking convivial et communauté de freelances à Bastille.,True
La Ruche qui dit Oui,75010,"24 Rue des Vinaigriers, 75010 Paris",+33 1 40 35 08 00,Métro Jacques Bonsergent (ligne 5),https://laruchequiditoui.fr,https://www.linkedin.com/company/la-ruche,,https://twitter.com/laruche,"Espace de travail partagé axé sur l'économie sociale et solidaire, accueillant entrepreneurs engagés.",48.8713,2.3626,2022-07-30,La Ruche - Coworking ESS Paris 10,Espace coworking dédié à l'économie sociale et solidaire.,True
DRAFT Montparnasse,75014,"10 Av. de Maine, 75014 Paris",+33 1 56 80 30 00,"Métro Montparnasse-Bienvenüe (lignes 4, 6, 12, 13)",https://draft.paris,https://www.linkedin.com/company/draft-paris,https://www.facebook.com/draftparis,,"Coworking moderne à Montparnasse avec terrasse, salles de réunion et événements networking réguliers.",48.8419,2.3195,2023-04-22,DRAFT Montparnasse - Coworking Paris 14,Espace de travail moderne avec terrasse à Montparnasse.,True
Anticafé Louvre,75001,"79 Rue de Rivoli, 75001 Paris",+33 1 40 13 07 20,"Métro Châtelet (lignes 1, 7, 11, 14)",https://anticafe.eu,,https://www.facebook.com/anticafelouvre,https://twitter.com/anticafe_eu,"Concept innovant de café coworking avec tarification à l'heure, boissons et snacks inclus.",48.86,2.3459,2022-12-01,Anticafé Louvre - Café Coworking Paris 1,Café coworking avec boissons incluses près du Louvre.,True
StartWay Nation,75020,"12 Pl. de la Nation, 75020 Paris",+33 1 43 73 12 00,"Métro Nation (lignes 1, 2, 6, 9)",https://startway.fr,https://www.linkedin.com/company/startway,,,"Centre d'affaires et coworking en périphérie Est de Paris, accueillant PME et indépendants.",48.8483,2.3954,2023-01-08,StartWay Nation - Coworking Paris 20,Coworking et centre d'affaires à Nation.,True
Nextdoor République,75011,"10 Pl. de la République, 75011 Paris",+33 1 83 62 45 00,"Métro République (lignes 3, 5, 8, 9, 11)",https://www.nextdoor-offices.com,https://www.linkedin.com/company/nextdoor-paris,https://www.facebook.com/nextdoorparis,,"Bureaux flexibles et espaces de coworking design à République, avec rooftop et salles modulables.",48.8677,2.3626,2023-05-17,Nextdoor République - Bureaux Flexibles Paris,Coworking premium avec rooftop à République.,True
Kwerk Mogador,75009,"3 Rue de Mogador, 75009 Paris",+33 1 75 43 70 00,Métro Trinité-d'Estienne d'Orves (ligne 12),https://kwerk.fr,https://www.linkedin.com/company/kwerk,https://www.facebook.com/kwerk.fr,https://twitter.com/kwerk_fr,"Espace de coworking wellness alliant travail et bien-être avec salle de sport, méditation et restaurant.",48.8758,2.3317,2022-10-25,Kwerk Mogador - Coworking Wellness Paris 9,Premier coworking wellness de Paris avec sport et bien-être.,True
Le BHV Coworking Marais,75004,"52 Rue de Rivoli, 75004 Paris",+33 1 42 74 90 00,"Métro Hôtel de Ville (lignes 1, 11)",https://www.bhv.fr/coworking,,,,"Espace de coworking atypique au sein du grand magasin BHV Marais, ouvert aux créatifs et professionnels.",48.8569,2.352,2023-06-12,BHV Coworking Marais - Paris 4,Coworking créatif au sein du BHV Marais.,True
Wojo Saint-Lazare,75008,"43 Rue de Naples, 75008 Paris",+33 1 84 14 45 00,"Métro Saint-Lazare (lignes 3, 12, 13, 14)",https://wojo.com,https://www.linkedin.com/company/wojo-coworking,https://www.facebook.com/wojocoworking,https://twitter.com/wojo_co,Réseau de coworking d'Accor Hotels avec un concept hybride hôtel/bureau flexible dans un cadre soigné.,48.877,2.3215,2022-08-14,Wojo Saint-Lazare - Coworking Paris 8,Coworking Accor Hotels près de Saint-Lazare.,True
Hubsy Châtelet,75001,"27 Rue des Halles, 75001 Paris",+33 1 40 26 78 00,"Métro Châtelet (lignes 1, 7, 11, 14)",https://hubsy.fr,https://www.linkedin.com/company/hubsy,https://www.facebook.com/hubsy.fr,,"Café coworking au cœur de Paris, idéal pour les nomades digitaux cherchant un espace calme et connecté.",48.8598,2.3485,2023-07-03,Hubsy Châtelet - Café Coworking Paris 1,Café coworking calme et connecté à Châtelet.,True
